p	pc	output	FTC	x	x	x	x
s	mem	loadmar	FTC	x	x	x	x
p	mem	output	FTC	x	x	x	x
s	regi	load	FTC	x	x	x	x
p	rega	output	TAB	x	x	x	x
s	regb	load	TAB	x	x	x	x
s	regi	reset	TAB	x	x	x	x
s	pc	count	TAB	x	x	x	x
p	regb	output	TBA	x	x	x	x
s	rega	load	TBA	x	x	x	x
s	regi	reset	TBA	x	x	x	x
s	pc	count	TBA	x	x	x	x
p	alu	add	ADD	x	x	x	x
s	rega	load	ADD	x	x	x	x
s	regi	reset	ADD	x	x	x	x
s	pc	count	ADD	x	x	x	x
p	alu	sub	SUB	x	x	x	x
s	rega	load	SUB	x	x	x	x
s	regi	reset	SUB	x	x	x	x
s	pc	count	SUB	x	x	x	x
p	pc	count	STA	x	x	x	x
p	pc	output	STA	x	x	x	x
s	mem	loadmar	STA	x	x	x	x
p	mem	output	STA	x	x	x	x
s	mmu	loadmar	STA	x	x	x	x
p	rega	output	STA	x	x	x	x
s	mmu	load	STA	x	x	x	x
s	regi	reset	STA	x	x	x	x
s	pc	count	STA	x	x	x	x
p	pc	count	STB	x	x	x	x
p	pc	output	STB	x	x	x	x
s	mem	loadmar	STB	x	x	x	x
p	mem	output	STB	x	x	x	x
s	mmu	loadmar	STB	x	x	x	x
p	regb	output	STB	x	x	x	x
s	mmu	load	STB	x	x	x	x
s	regi	reset	STB	x	x	x	x
s	pc	count	STB	x	x	x	x
p	pc	count	LRA	x	x	x	x
p	pc	output	LRA	x	x	x	x
s	mem	loadmar	LRA	x	x	x	x
p	mem	output	LRA	x	x	x	x
s	mem	loadmar	LRA	x	x	x	x
p	rega	load	LRA	x	x	x	x
s	mem	output	LRA	x	x	x	x
s	regi	reset	LRA	x	x	x	x
s	pc	count	LRA	x	x	x	x
p	pc	count	LRB	x	x	x	x
p	pc	output	LRB	x	x	x	x
s	mem	loadmar	LRB	x	x	x	x
p	mem	output	LRB	x	x	x	x
s	mem	loadmar	LRB	x	x	x	x
p	regb	load	LRB	x	x	x	x
s	mem	output	LRB	x	x	x	x
s	regi	reset	LRB	x	x	x	x
s	pc	count	LRB	x	x	x	x
p	pc	count	LDA	x	x	x	x
p	pc	output	LDA	x	x	x	x
s	mem	loadmar	LDA	x	x	x	x
p	mem	output	LDA	x	x	x	x
s	mmu	loadmar	LDA	x	x	x	x
p	rega	load	LDA	x	x	x	x
s	mmu	output	LDA	x	x	x	x
s	regi	reset	LDA	x	x	x	x
s	pc	count	LDA	x	x	x	x
p	pc	count	LDB	x	x	x	x
p	pc	output	LDB	x	x	x	x
s	mem	loadmar	LDB	x	x	x	x
p	mem	output	LDB	x	x	x	x
s	mmu	loadmar	LDB	x	x	x	x
p	regb	load	LDB	x	x	x	x
s	mmu	output	LDB	x	x	x	x
s	regi	reset	LDB	x	x	x	x
s	pc	count	LDB	x	x	x	x
p	regsp	dec	PSA	x	x	x	x
p	regs	load	PSA	x	x	x	x
s	mmu	outputcs	PSA	x	x	x	x
p	mmu	select0stack	PSA	x	x	x	x
s	mmu	loadmar	PSA	x	x	x	x
s	regsp	output	PSA	x	x	x	x
p	rega	output	PSA	x	x	x	x
s	mmu	load	PSA	x	x	x	x
p	regs	output	PSA	x	x	x	x
s	mmu	loadcs	PSA	x	x	x	x
p	regi	reset	PSA	x	x	x	x
s	pc	count	PSA	x	x	x	x
p	regs	load	POA	x	x	x	x
s	mmu	outputcs	POA	x	x	x	x
p	mmu	select0stack	POA	x	x	x	x
